Hora;temp1;temp2; vazao;tempCPU
19:48:48;29,56;30,75;2,91;36
19:52:05;29,31;29,94;2,73;36
19:52:07;29,31;29,87;2,91;36
19:52:08;29,31;29,94;2,91;36
19:52:10;29,31;29,87;2,73;36
19:52:12;29,31;29,87;2,91;36
19:52:13;29,31;29,87;2,73;36
19:52:15;28,69;29,81;2,91;36
19:52:16;28,62;30;2,73;36
19:52:18;29,31;29,87;2,91;36
19:52:20;29,19;29,87;2,91;36
19:52:21;29,31;29,87;2,73;36
19:52:23;28,62;29,31;2,91;36
19:52:25;28,69;29,75;2,73;36
19:52:26;29,19;29,87;2,91;36
19:52:28;29,19;29,81;2,73;36
19:52:29;29,12;29,75;2,91;36
19:52:31;29,25;29,87;2,73;36
19:52:33;29,12;29,94;2,91;36
19:52:34;29,19;29,81;2,73;36
19:52:36;29,12;29,75;2,91;36
19:52:37;29,12;29,75;2,73;36
19:52:39;29,25;29,75;2,91;36
19:52:41;29,12;29,25;2,91;36
19:52:42;29,19;29,81;2,73;36
19:52:44;29,19;29,81;2,91;36
19:52:46;29,19;29,25;2,73;36
19:52:47;29,12;29,69;2,91;36
19:52:49;29,12;29,69;2,73;36
19:52:50;29,19;29,75;2,91;36
19:52:52;28,62;29,62;2,91;36
19:52:54;29,06;29,25;2,73;36
19:52:55;29,06;29,62;2,91;36
19:52:57;29,06;29,69;2,73;36
19:52:58;28,56;29,62;2,91;36
19:53:00;29,06;29,62;2,91;36
19:53:02;29,00;29,69;2,73;36
19:53:03;28,50;29,62;2,91;36
19:53:05;28,50;29,19;2,91;36
19:53:07;29,00;29,62;2,73;36
19:53:08;29,00;29,62;2,91;36
19:53:10;29,06;29,19;2,73;36
19:53:11;29,06;29,12;2,91;36
19:53:13;29,06;29,56;2,73;36
19:53:15;29,06;29;2,91;42
19:53:16;29,06;29,62;2,91;42
19:53:18;28,50;29,06;2,73;42
19:53:19;28,94;29,12;2,91;42
19:53:21;29,00;29,69;2,91;42
19:53:23;29,00;29;2,73;42
19:53:24;28,94;29,06;2,91;42
19:53:26;28,44;29,62;2,73;42
19:53:28;29,00;29,44;2,91;42
19:53:29;29,00;29;2,73;42
19:53:31;28,94;29,62;2,91;42
19:53:32;28,50;29,56;2,91;42
19:53:34;29,06;29,5;2,73;42
19:53:36;29,19;29,56;2,91;42
19:53:37;29,12;29,06;2,73;42
19:53:39;29,06;29,5;2,91;42
19:53:40;29,00;29,06;2,73;42
19:53:42;29,06;29,56;2,91;42
19:53:44;29,06;29,56;2,73;42
19:53:45;29,00;29,06;2,91;42
19:53:47;28,56;29,5;2,73;42
19:53:48;29,12;29;2,91;42
19:53:50;28,62;29,56;2,73;42
19:53:52;29,06;29,5;2,91;42
19:53:54;29,19;29,56;2,91;42
19:53:55;29,06;29,56;2,73;42
19:53:57;29,12;29,06;2,91;42
19:53:58;29,19;29,62;2,73;42
19:54:00;29,12;29,62;2,91;42
19:54:01;28,50;29;2,73;42
19:54:03;28,56;29,62;2,91;42
19:54:05;28,56;29,62;2,73;42
19:54:06;29,12;29,62;2,91;42
19:54:08;29,12;29,62;2,73;42
19:54:09;28,56;29,62;2,91;42
19:54:11;28,62;29,69;2,91;42
19:54:13;29,06;29,06;2,73;42
19:54:14;29,19;29,56;2,91;42
19:54:16;29,19;29,62;2,73;42
19:54:18;29,19;29,56;2,91;42
19:54:19;29,25;29,69;2,91;42
19:54:21;29,19;29,69;2,73;42
19:54:22;29,19;29,56;2,91;45
19:54:24;29,25;29,69;2,91;45
19:54:26;29,19;29,62;2,73;45
19:54:27;29,06;29,69;2,91;45
19:54:29;29,19;29,69;2,73;45
19:54:30;29,19;29,62;2,91;45
19:54:32;28,56;29,62;2,73;45
19:54:34;29,06;29,62;2,91;45
19:54:35;29,12;29,62;2,91;45
19:54:37;29,25;29,19;2,73;45
19:54:39;29,19;29,69;2,91;45
19:54:40;29,19;29,12;2,91;45
19:54:42;29,12;29,69;2,73;45
19:54:43;29,00;29,75;2,91;45
19:54:45;29,19;29,62;2,91;45
19:54:47;29,12;29,75;2,73;45
19:54:48;29,12;29,06;2,91;45
19:54:50;28,56;29,62;2,73;45
19:54:51;29,12;29,19;2,91;45
19:54:53;29,19;29,69;2,73;45
19:54:55;29,19;29,12;2,91;45
19:54:56;29,19;29,62;2,91;45
19:54:58;29,19;29,75;2,73;45
19:55:00;29,19;29,69;2,91;45
19:55:01;29,06;29,19;2,91;45
19:55:03;29,19;29,69;2,73;45
19:55:04;29,12;29,19;2,91;45
19:55:06;29,19;29,75;2,73;45
19:55:08;28,56;29,75;2,91;45
19:55:09;29,19;29,62;2,91;45
19:55:11;29,19;29,25;2,73;45
19:55:12;29,12;29,12;2,91;45
19:55:14;29,25;29,62;2,91;45
19:55:16;29,19;29,19;2,73;45
19:55:17;29,19;29,69;2,91;45
19:55:19;29,12;29,25;2,73;45
19:55:21;29,19;29,75;2,91;45
19:55:22;28,62;29,69;2,73;45
19:55:24;29,19;29,75;2,91;45
19:55:25;29,25;29,12;2,91;45
19:55:27;29,19;29,62;2,73;45
19:55:29;29,19;29,62;2,91;46
